CharacterID;Numeric ID;Name
ch221002_00;260695884;Rattler
ch224000_00;579176354;Slime
ch250000_10;597201144;Cyclops
ch250000_02;2691537244;Cyclops
ch250000_21;377282979;Cyclops
ch299003_A_40;958755609;Ox
ch253001_00;3369196004;Sphinx
ch230000;3118161942;Rogue
ch299030_A_00;3414342046;Pig
ch223002;463959734;Blackdog
ch259000_00;3285740536;Talos
ch220003_01;3404862741;Knacker
ch299240;2408295807;Spider
ch224001;1440405779;Ooze
ch226003_00;422306432;Skeleton Lord
ch299410;3831640274;Crow
ch253010_00;4243003424;Vermund Purgener
ch230002_02;179954184;Lost Mercenary
ch255011;3585982719;Volcanic Island Purgener
ch258000_30;1403005379;Dragon
ch254001;3926958653;Gorechimera
ch230002_05;1729485145;Lost Mercenary
ch230002_04;4058460161;Lost Mercenary
ch224001_00;453830893;Ooze
ch258000;2218318624;Dragon
ch299220_A_00;261171242;Rooster
ch230012;2636845582;Coral Snake
ch226000_00;3778529772;Skeleton
ch252000_02;2224608577;Golem
ch299003_A_31;3896343726;Ox
ch220002_02;207240957;Chopper
ch221000_00;1563777152;Saurian
ch230001_05;2738350696;Lost Mercenary
ch250000_01;2314122076;Cyclops
ch299020_B_00;660614732;Goat
ch220001_11;3959282474;Hobgoblin
ch250000;4200835371;Cyclops
ch220000_10;2673306579;Goblin
ch230000_03;33337065;Rogue
ch226002;996797807;Skeleton
ch226003;2778171479;Skeleton Lord
ch220003;3901007162;Knacker
ch299031_B_00;1101403807;Wild Boar
ch222003_20;4279131294;Succubus
ch230001_06;2368799945;Lost Mercenary
ch220001_12;1072978625;Hobgoblin
ch220001_20;2108697931;Hobgoblin
ch223002_00;1641985855;Blackdog
ch230012_02;144325129;Coral Snake
ch224002;4095108099;Sludge
ch255000;1523627639;Medusa
ch253010;3796773925;Vermund Purgener
ch255011_00;3417537573;Volcanic Island Purgener
ch230000_01;1678146412;Rogue
ch220001_23;1433009442;Hobgoblin
ch226001_03;1831724056;Skeleton
ch256001_00;1057828479;Goreminotaur
ch228002_00;237829752;Stout Undead
ch299003_A_51;1931977881;Ox
ch230000_04;2405515181;Rogue
ch299230_A_00;3025108868;Leapworm
ch222003;2537311039;Succubus
ch225002_00;804066478;Specter
ch226002_05;3069007639;Skeleton
ch228002;1668345160;Stout Undead
ch228000_00;2967309721;Undead
ch229000_00;2629601821;Dullahan
ch299221_A_00;368362284;Chicken
ch258001;1472891121;Nex
ch299010;2448464762;Stag
ch299200_A_00;3794158447;Rabbit
ch260000_00;169713426;Garm
ch258000_00;2631267673;Dragon
